"What is your Research ID? (Ask one of the researchers if unsure)","Did you find it difficult to navigate through the first museum? Why?","On a scale of 1 to 5, how immersed did you feel in the first environment?","On a scale of 1 to 5, how realistic did you find the first environment?","Did you find it difficult to navigate through the second museum? Why?","On a scale of 1 to 5, how immersed did you feel in the second environment?","On a scale of 1 to 5, how realistic did you find the second environment?","Which museum did you prefer and why?","Did you feel motion sick at any point?","Is there anything about this experience that you would change to improve navigation?"
1,"Difficult to navigate through due to complex tour where the same room is reused to go to different rooms? I would get confused which portal in a room led where. Perhaps going through the tour slower would have helped.",3,2,"Was difficult to navigate as after a few rooms the audio felt very overwhelming and started contributing to the motion sick feeling. This felt more immersive but had the same level of difficulty in navigating due to me getting confused which portal in the room led to which route. This museum also felt bigger so got lost more easily.",4,2,"The second one felt more realistic due to sound but the audio was a bit overwhelming and felt disorientating at times. So I would say I prefer the first museum as it was less disorientating - it also felt smaller?",Yes,"Maybe going through the tour slower would have helped in the beginning. Seeing a map or similar would also have helped explain where rooms led to. The sound should perhaps be reduced a bit as it made it feel more sickening at times. The audio in the second museum almost made navigation worse as I expected the sound to only start when I entered the portal"
2,"No i felt it was okay to navigate through. It was pretty intuitive i want to say",4,3,"There was one section where entering a room through a door and exiting that same door puts you in a different room so that was interesting",4,4,"2",No,"Maybe add more sounds to help navigate the first museum"
3,"Didn't have a very strong map, only vague ideas of where in the journey it was around. Most of it was trial and error",5,4,"I was a bit better trained this time and also had a slightly stronger mental map. Also the sounds may have helped",5,5,"Second one",No,"Less annoying sounds (though they did kinda help)"
4,"It wasn't too bad I got more familiar with certain rooms. I struggled to find the cave room as I wasn't as familiar with it.",4,3,"I feel like I struggled with the second more. Not 100% sure why. It felt like there were more closer loops where you could get stuck in the sane 3 rooms.",4,3,"I liked that the second museum had larger rooms with more interesting locations.",No,"Having interactive objects in the rooms could make them more interesting and memorable as you form greater connections with them. This would require allowing us to use the controllers."
5,"A little as some of the rooms looked very similar (apart from the colour, or objects that can not be seen through the portal)",3,2,"No, it felt more connected than the first",5,4,"2nd. Mainly because it felt more alive, as if it was an actual museum connected as opposed to a collection of disconnected rooms.",No,"Things felt like they popped through the portals, such as the resolution and sounds in museum 1. This made them feel less connected."
6,"No. Because while I go through the first museum, I have no idea what should I do.",5,4,"Yes, because I try to remember everything, however I can't and I get lost.",5,4,"First museum, because it has a doggy.",Yes,"Play some nice bgm."
7,"It was okey",5,1,"Yes, I got lost between 3 rooms (the baby room pie one of them)",5,1,"The second one as I liked the art there more",No,"The spring is scary"
8,"Yes, because I lost direction",4,4,"Yes, because I lost direction",3,3,"First, more realistic ",No,""
9,"Yes, because i didn�t know the rule at the beginning. ",3,4,"Yes, I guess too many rooms are there. ",2,4,"I prefer the first one, because first one I didn�t get lost. ",Yes,"No, I think the overall is good"
11,"",5,3,"",2,4,"The room with the racing cars is very real",No,""
